Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Mean Reversion,0.54,0.7,0.52,0.16,1.05,0.36,5,0.0033,DOCN,1.0,0.02,0.001
Momentum,-0.53,-0.64,0.59,-0.38,1.41,0.39,13,0.0067,DOCN,1.0,0.02,0.001
Combined,-0.32,-0.17,0.23,-0.1,0.88,0.09,14,0.0016,DOCN,1.0,0.02,0.001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,1.0,0.02,0.001
Mean Reversion,0.31,0.37,0.19,0.04,0.59,0.41,5,0.0019,SPY,1.0,0.02,0.001
Momentum,0.19,0.22,0.19,0.02,0.58,0.47,13,0.0017,SPY,1.0,0.02,0.001
Combined,0.45,0.34,0.09,0.04,0.37,0.19,12,0.0005,SPY,1.0,0.02,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.02,0.001
Mean Reversion,-0.85,-1.13,0.29,-0.25,0.86,0.4,5,-0.0031,AAPL,1.0,0.02,0.001
Momentum,0.41,0.52,0.29,0.08,1.0,0.45,13,-0.0063,AAPL,1.0,0.02,0.001
Combined,-0.56,-0.24,0.12,-0.07,0.46,0.03,16,-0.0038,AAPL,1.0,0.02,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.02,0.001
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0041,MSFT,1.0,0.02,0.001
Momentum,0.16,0.19,0.28,0.0,0.65,0.46,13,-0.0162,MSFT,1.0,0.02,0.001
Combined,-0.55,-0.2,0.14,-0.09,0.43,0.05,9,-0.024,MSFT,1.0,0.02,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.001
Mean Reversion,-0.09,-0.13,0.3,-0.07,1.43,0.39,7,0.0194,GOOGL,1.0,0.02,0.001
Momentum,0.05,0.06,0.3,-0.03,1.12,0.46,15,-0.0119,GOOGL,1.0,0.02,0.001
Combined,-0.15,-0.08,0.1,-0.02,0.43,0.06,12,-0.0063,GOOGL,1.0,0.02,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.001
Mean Reversion,-0.71,-0.92,0.49,-0.38,1.27,0.38,7,0.0101,NVDA,1.0,0.02,0.001
Momentum,0.84,1.23,0.5,0.34,3.2,0.46,11,-0.0164,NVDA,1.0,0.02,0.001
Combined,-0.0,-0.0,0.13,-0.01,0.24,0.01,12,-0.0026,NVDA,1.0,0.02,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.001
Mean Reversion,-0.01,-0.01,0.33,-0.06,1.23,0.41,11,-0.0018,AMZN,1.0,0.02,0.001
Momentum,0.01,0.02,0.33,-0.05,0.61,0.43,21,-0.0063,AMZN,1.0,0.02,0.001
Combined,0.12,0.06,0.1,0.01,0.26,0.05,20,0.0024,AMZN,1.0,0.02,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.001
Mean Reversion,-0.37,-0.49,0.86,-0.51,1.09,0.42,6,-0.009,PLUG,1.0,0.02,0.002
Momentum,0.25,0.34,0.86,-0.15,24.47,0.43,13,-0.0142,PLUG,1.0,0.02,0.002
Combined,-0.15,-0.1,0.35,-0.11,0.83,0.11,9,-0.0125,PLUG,1.0,0.02,0.002
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,1.0,0.02,0.002
Mean Reversion,-0.21,-0.29,0.93,-0.47,1.08,0.39,7,-0.0238,FUBO,1.0,0.02,0.002
Momentum,0.01,0.02,0.96,-0.37,1.38,0.42,22,0.0011,FUBO,1.0,0.02,0.002
Combined,-0.19,-0.08,0.29,-0.09,0.66,0.06,23,-0.0009,FUBO,1.0,0.02,0.002
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,1.0,0.02,0.002
Mean Reversion,-0.68,-0.79,1.05,-0.73,2.88,0.41,6,0.0029,RIOT,1.0,0.02,0.002
Momentum,0.67,1.06,1.07,0.17,25.88,0.43,14,0.0373,RIOT,1.0,0.02,0.002
Combined,-0.14,-0.07,0.34,-0.1,0.73,0.06,14,0.0186,RIOT,1.0,0.02,0.002
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,1.0,0.02,0.002
Mean Reversion,-0.57,-0.78,0.62,-0.42,1.03,0.39,7,-0.0184,SOFI,1.0,0.02,0.002
Momentum,0.28,0.35,0.62,-0.02,1.72,0.4,13,0.0227,SOFI,1.0,0.02,0.002
Combined,-0.51,-0.2,0.17,-0.1,0.5,0.03,10,0.0095,SOFI,1.0,0.02,0.002
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,1.0,0.02,0.002
Mean Reversion,0.09,0.12,1.04,-0.37,1.03,0.36,8,0.0059,BCLI,1.0,0.02,0.002
Momentum,-0.44,-0.45,1.05,-0.66,3.36,0.42,19,-0.0229,BCLI,1.0,0.02,0.002
Combined,-0.59,-0.19,0.28,-0.19,0.8,0.05,12,-0.0105,BCLI,1.0,0.02,0.002
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,1.0,0.02,0.002
Mean Reversion,0.34,0.39,1.06,-0.22,3.87,0.41,4,0.0173,SNDL,1.0,0.02,0.002
Momentum,0.05,0.05,1.08,-0.62,3.65,0.4,11,-0.0061,SNDL,1.0,0.02,0.002
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.005,SNDL,1.0,0.02,0.002
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,1.0,0.02,0.002
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0265,MARA,1.0,0.02,0.002
Momentum,0.66,0.99,1.29,0.04,34.25,0.44,10,-0.0179,MARA,1.0,0.02,0.002
Combined,0.09,0.06,0.69,-0.17,3.83,0.14,10,-0.0183,MARA,1.0,0.02,0.002
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,1.0,0.02,0.002
Mean Reversion,-0.44,-0.39,0.74,-0.56,2.14,0.41,13,0.0063,LUMN,1.0,0.02,0.002
Momentum,0.5,0.78,0.74,0.13,1.85,0.42,17,-0.0052,LUMN,1.0,0.02,0.002
Combined,0.19,0.07,0.08,0.01,0.21,0.03,12,-0.0003,LUMN,1.0,0.02,0.002
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,1.0,0.02,0.002
Mean Reversion,-0.0,-0.0,0.67,-0.2,1.64,0.41,6,-0.055,OPK,1.0,0.02,0.002
Momentum,-0.47,-0.56,0.67,-0.42,1.25,0.4,20,0.0058,OPK,1.0,0.02,0.002
Combined,-0.72,-0.35,0.23,-0.18,0.91,0.07,18,-0.0062,OPK,1.0,0.02,0.002
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,1.0,0.02,0.002
Mean Reversion,-0.03,-0.04,0.48,-0.13,1.68,0.41,9,-0.0128,FSLR,1.0,0.02,0.002
Momentum,0.1,0.14,0.49,-0.07,0.92,0.42,17,-0.0008,FSLR,1.0,0.02,0.002
Combined,0.16,0.09,0.2,0.01,0.48,0.09,15,0.0036,FSLR,1.0,0.02,0.002
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,1.0,0.02,0.002
Mean Reversion,-0.31,-0.42,0.49,-0.24,1.41,0.4,6,0.0105,ALB,1.0,0.02,0.002
Momentum,0.11,0.15,0.49,-0.06,2.2,0.44,17,-0.0035,ALB,1.0,0.02,0.002
Combined,-0.26,-0.12,0.17,-0.06,0.57,0.05,16,-0.0049,ALB,1.0,0.02,0.002
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,1.0,0.02,0.002
Mean Reversion,-0.04,-0.05,0.69,-0.23,1.63,0.41,6,-0.0098,ENPH,1.0,0.02,0.002
Momentum,0.47,0.6,0.7,0.09,2.36,0.45,16,0.0132,ENPH,1.0,0.02,0.002
Combined,0.45,0.34,0.34,0.1,0.75,0.11,18,0.0126,ENPH,1.0,0.02,0.002
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,1.0,0.02,0.002
Mean Reversion,-0.63,-0.93,0.6,-0.43,1.01,0.4,3,0.0038,CHWY,1.0,0.02,0.002
Momentum,0.44,0.57,0.6,0.09,2.87,0.43,9,-0.0011,CHWY,1.0,0.02,0.002
Combined,-0.41,-0.2,0.16,-0.07,0.48,0.04,6,0.0014,CHWY,1.0,0.02,0.002
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,1.0,0.02,0.002
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0619,PTON,1.0,0.02,0.002
Momentum,0.72,0.95,0.81,0.28,4.81,0.45,7,-0.0016,PTON,1.0,0.02,0.002
Combined,0.4,0.23,0.24,0.07,0.5,0.05,8,-0.0105,PTON,1.0,0.02,0.002
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,1.0,0.02,0.002
Mean Reversion,0.3,0.4,0.66,-0.02,4.21,0.43,10,0.0163,ROKU,1.0,0.02,0.002
Momentum,-0.02,-0.02,0.66,-0.21,2.15,0.43,19,-0.0137,ROKU,1.0,0.02,0.002
Combined,0.39,0.21,0.22,0.06,0.76,0.06,23,-0.0043,ROKU,1.0,0.02,0.002
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,1.0,0.02,0.002
Mean Reversion,0.54,0.74,0.41,0.15,0.59,0.41,11,-0.0186,LVS,1.0,0.02,0.002
Momentum,-0.34,-0.42,0.41,-0.2,1.11,0.45,19,-0.0009,LVS,1.0,0.02,0.002
Combined,0.32,0.15,0.12,0.03,0.31,0.06,20,-0.004,LVS,1.0,0.02,0.002
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,1.0,0.02,0.002
Mean Reversion,0.18,0.23,0.69,-0.11,1.33,0.38,5,0.0006,U,1.0,0.02,0.002
Momentum,-0.08,-0.1,0.7,-0.26,1.81,0.42,12,-0.0037,U,1.0,0.02,0.002
Combined,0.19,0.09,0.27,0.01,0.55,0.06,14,-0.0112,U,1.0,0.02,0.002
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,1.0,0.02,0.002
Mean Reversion,0.32,0.5,0.78,-0.05,1.64,0.41,13,-0.0292,RUN,1.0,0.02,0.002
Momentum,-0.25,-0.31,0.78,-0.4,3.46,0.44,21,0.0071,RUN,1.0,0.02,0.002
Combined,0.1,0.05,0.33,-0.02,1.45,0.07,16,-0.0078,RUN,1.0,0.02,0.002
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,1.0,0.02,0.002
Mean Reversion,0.54,0.7,0.52,0.16,1.04,0.36,5,0.0015,DOCN,1.0,0.02,0.002
Momentum,-0.54,-0.65,0.59,-0.39,1.41,0.39,13,0.0048,DOCN,1.0,0.02,0.002
Combined,-0.34,-0.18,0.23,-0.1,0.88,0.09,14,0.0006,DOCN,1.0,0.02,0.002
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,1.0,0.02,0.002
Mean Reversion,0.31,0.36,0.19,0.04,0.59,0.41,5,0.0001,SPY,1.0,0.02,0.002
Momentum,0.17,0.19,0.19,0.01,0.6,0.47,13,-0.0003,SPY,1.0,0.02,0.002
Combined,0.43,0.33,0.09,0.04,0.38,0.19,12,-0.0005,SPY,1.0,0.02,0.002
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.02,0.002
Mean Reversion,-0.85,-1.13,0.29,-0.25,0.86,0.4,5,-0.0049,AAPL,1.0,0.02,0.002
Momentum,0.4,0.5,0.29,0.08,1.02,0.45,13,-0.0082,AAPL,1.0,0.02,0.002
Combined,-0.58,-0.25,0.12,-0.07,0.46,0.03,16,-0.0048,AAPL,1.0,0.02,0.002
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.02,0.002
Mean Reversion,-0.66,-0.84,0.28,-0.2,0.89,0.4,4,0.0023,MSFT,1.0,0.02,0.002
Momentum,0.14,0.17,0.28,0.0,0.65,0.46,13,-0.0181,MSFT,1.0,0.02,0.002
Combined,-0.56,-0.2,0.14,-0.09,0.44,0.05,9,-0.025,MSFT,1.0,0.02,0.002
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.002
Mean Reversion,-0.1,-0.14,0.3,-0.07,1.42,0.39,7,0.0175,GOOGL,1.0,0.02,0.002
Momentum,0.03,0.04,0.3,-0.03,1.12,0.46,15,-0.0138,GOOGL,1.0,0.02,0.002
Combined,-0.17,-0.09,0.1,-0.02,0.44,0.06,12,-0.0073,GOOGL,1.0,0.02,0.002
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.002
Mean Reversion,-0.72,-0.92,0.49,-0.38,1.27,0.38,7,0.0082,NVDA,1.0,0.02,0.002
Momentum,0.83,1.21,0.5,0.34,3.19,0.46,11,-0.0184,NVDA,1.0,0.02,0.002
Combined,-0.02,-0.01,0.13,-0.01,0.24,0.01,12,-0.0036,NVDA,1.0,0.02,0.002
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.002
Mean Reversion,-0.02,-0.03,0.33,-0.06,1.21,0.41,11,-0.0037,AMZN,1.0,0.02,0.002
Momentum,-0.01,-0.01,0.33,-0.06,0.62,0.43,21,-0.0082,AMZN,1.0,0.02,0.002
Combined,0.09,0.04,0.1,0.0,0.26,0.05,20,0.0014,AMZN,1.0,0.02,0.002
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.002
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0055,PLUG,1.0,0.025,0.0001
Momentum,0.26,0.35,0.86,-0.14,24.49,0.43,13,-0.0105,PLUG,1.0,0.025,0.0001
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.0106,PLUG,1.0,0.025,0.0001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,1.0,0.025,0.0001
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.0202,FUBO,1.0,0.025,0.0001
Momentum,0.03,0.04,0.96,-0.36,1.41,0.42,22,0.0048,FUBO,1.0,0.025,0.0001
Combined,-0.16,-0.07,0.29,-0.09,0.65,0.06,23,0.001,FUBO,1.0,0.025,0.0001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,1.0,0.025,0.0001
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.9,0.41,6,0.0064,RIOT,1.0,0.025,0.0001
Momentum,0.68,1.07,1.07,0.18,25.91,0.43,14,0.0409,RIOT,1.0,0.025,0.0001
Combined,-0.13,-0.06,0.34,-0.1,0.72,0.06,14,0.0205,RIOT,1.0,0.025,0.0001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,1.0,0.025,0.0001
Mean Reversion,-0.56,-0.77,0.62,-0.42,1.03,0.39,7,-0.0149,SOFI,1.0,0.025,0.0001
Momentum,0.3,0.37,0.62,-0.01,1.71,0.4,13,0.0263,SOFI,1.0,0.025,0.0001
Combined,-0.49,-0.19,0.17,-0.09,0.5,0.03,10,0.0114,SOFI,1.0,0.025,0.0001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,1.0,0.025,0.0001
Mean Reversion,0.1,0.12,1.04,-0.36,1.03,0.36,8,0.0095,BCLI,1.0,0.025,0.0001
Momentum,-0.43,-0.44,1.05,-0.65,3.37,0.42,19,-0.0169,BCLI,1.0,0.025,0.0001
Combined,-0.58,-0.18,0.27,-0.18,0.8,0.05,12,-0.0086,BCLI,1.0,0.025,0.0001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,1.0,0.025,0.0001
Mean Reversion,0.35,0.39,1.06,-0.22,3.89,0.41,4,0.0206,SNDL,1.0,0.025,0.0001
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0024,SNDL,1.0,0.025,0.0001
Combined,0.36,0.22,0.4,0.06,0.82,0.13,13,-0.0031,SNDL,1.0,0.025,0.0001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,1.0,0.025,0.0001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0232,MARA,1.0,0.025,0.0001
Momentum,0.66,0.99,1.29,0.05,34.56,0.44,10,-0.0143,MARA,1.0,0.025,0.0001
Combined,0.09,0.07,0.69,-0.16,3.85,0.14,10,-0.0164,MARA,1.0,0.025,0.0001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,1.0,0.025,0.0001
Mean Reversion,-0.43,-0.38,0.74,-0.56,2.22,0.41,13,0.0099,LUMN,1.0,0.025,0.0001
Momentum,0.51,0.8,0.74,0.15,1.97,0.42,17,-0.0016,LUMN,1.0,0.025,0.0001
Combined,0.23,0.08,0.08,0.02,0.21,0.03,12,0.0016,LUMN,1.0,0.025,0.0001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,1.0,0.025,0.0001
Mean Reversion,0.0,0.01,0.67,-0.2,1.65,0.41,6,-0.0515,OPK,1.0,0.025,0.0001
Momentum,-0.49,-0.58,0.67,-0.43,1.26,0.39,20,0.0133,OPK,1.0,0.025,0.0001
Combined,-0.75,-0.36,0.23,-0.18,0.93,0.07,18,-0.0043,OPK,1.0,0.025,0.0001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,1.0,0.025,0.0001
Mean Reversion,-0.02,-0.02,0.48,-0.12,1.69,0.41,9,-0.0092,FSLR,1.0,0.025,0.0001
Momentum,0.12,0.17,0.49,-0.06,0.92,0.42,17,0.0029,FSLR,1.0,0.025,0.0001
Combined,0.18,0.11,0.2,0.02,0.49,0.09,15,0.0055,FSLR,1.0,0.025,0.0001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,1.0,0.025,0.0001
Mean Reversion,-0.3,-0.41,0.49,-0.23,1.42,0.4,6,0.014,ALB,1.0,0.025,0.0001
Momentum,0.13,0.18,0.49,-0.05,2.21,0.44,17,0.0002,ALB,1.0,0.025,0.0001
Combined,-0.23,-0.1,0.17,-0.05,0.56,0.05,16,-0.003,ALB,1.0,0.025,0.0001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,1.0,0.025,0.0001
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.0063,ENPH,1.0,0.025,0.0001
Momentum,0.48,0.62,0.7,0.1,2.45,0.45,16,0.0169,ENPH,1.0,0.025,0.0001
Combined,0.46,0.35,0.34,0.11,0.77,0.11,18,0.0145,ENPH,1.0,0.025,0.0001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,1.0,0.025,0.0001
Mean Reversion,-0.63,-0.92,0.6,-0.43,1.01,0.4,3,0.007,CHWY,1.0,0.025,0.0001
Momentum,0.45,0.58,0.6,0.09,2.89,0.44,9,0.0025,CHWY,1.0,0.025,0.0001
Combined,-0.4,-0.19,0.16,-0.07,0.48,0.04,6,0.0033,CHWY,1.0,0.025,0.0001
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,1.0,0.025,0.0001
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0585,PTON,1.0,0.025,0.0001
Momentum,0.72,0.96,0.81,0.29,4.85,0.45,7,0.0019,PTON,1.0,0.025,0.0001
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.0086,PTON,1.0,0.025,0.0001
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,1.0,0.025,0.0001
Mean Reversion,0.3,0.41,0.66,-0.02,4.25,0.43,10,0.0199,ROKU,1.0,0.025,0.0001
Momentum,0.0,0.0,0.66,-0.2,2.2,0.43,19,-0.01,ROKU,1.0,0.025,0.0001
Combined,0.42,0.23,0.21,0.07,0.75,0.06,23,-0.0024,ROKU,1.0,0.025,0.0001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,1.0,0.025,0.0001
Mean Reversion,0.56,0.76,0.41,0.15,0.6,0.41,11,-0.015,LVS,1.0,0.025,0.0001
Momentum,-0.33,-0.4,0.41,-0.2,1.11,0.45,19,0.0029,LVS,1.0,0.025,0.0001
Combined,0.35,0.16,0.12,0.03,0.29,0.06,20,-0.0019,LVS,1.0,0.025,0.0001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,1.0,0.025,0.0001
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.004,U,1.0,0.025,0.0001
Momentum,-0.07,-0.08,0.7,-0.25,1.82,0.42,12,-0.0,U,1.0,0.025,0.0001
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0093,U,1.0,0.025,0.0001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,1.0,0.025,0.0001
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0255,RUN,1.0,0.025,0.0001
Momentum,-0.23,-0.29,0.78,-0.39,3.5,0.44,21,0.0108,RUN,1.0,0.025,0.0001
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0059,RUN,1.0,0.025,0.0001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,1.0,0.025,0.0001
Mean Reversion,0.55,0.71,0.52,0.16,1.05,0.36,5,0.005,DOCN,1.0,0.025,0.0001
Momentum,-0.56,-0.68,0.59,-0.4,1.42,0.39,13,0.0082,DOCN,1.0,0.025,0.0001
Combined,-0.36,-0.19,0.23,-0.1,0.91,0.09,14,0.0025,DOCN,1.0,0.025,0.0001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,1.0,0.025,0.0001
Mean Reversion,0.32,0.38,0.19,0.04,0.58,0.41,5,0.0035,SPY,1.0,0.025,0.0001
Momentum,0.2,0.23,0.19,0.02,0.58,0.47,13,0.0023,SPY,1.0,0.025,0.0001
Combined,0.46,0.35,0.09,0.04,0.37,0.19,12,0.0014,SPY,1.0,0.025,0.0001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.025,0.0001
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0014,AAPL,1.0,0.025,0.0001
Momentum,0.55,0.69,0.29,0.13,0.92,0.45,11,-0.0039,AAPL,1.0,0.025,0.0001
Combined,-0.39,-0.15,0.12,-0.05,0.4,0.03,14,-0.0027,AAPL,1.0,0.025,0.0001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.025,0.0001
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0056,MSFT,1.0,0.025,0.0001
Momentum,0.16,0.19,0.28,0.01,0.63,0.46,11,-0.0188,MSFT,1.0,0.025,0.0001
Combined,-0.54,-0.19,0.14,-0.08,0.44,0.05,7,-0.029,MSFT,1.0,0.025,0.0001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.025,0.0001
Mean Reversion,-0.09,-0.12,0.3,-0.07,1.43,0.39,7,0.0211,GOOGL,1.0,0.025,0.0001
Momentum,0.1,0.12,0.3,-0.01,1.07,0.46,15,-0.0078,GOOGL,1.0,0.025,0.0001
Combined,-0.08,-0.04,0.1,-0.01,0.4,0.06,12,-0.0025,GOOGL,1.0,0.025,0.0001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.025,0.0001
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.0118,NVDA,1.0,0.025,0.0001
Momentum,0.85,1.24,0.5,0.35,3.2,0.46,11,-0.0217,NVDA,1.0,0.025,0.0001
Combined,0.01,0.0,0.13,-0.01,0.24,0.01,12,-0.0017,NVDA,1.0,0.025,0.0001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.025,0.0001
Mean Reversion,-0.0,-0.0,0.33,-0.05,1.24,0.41,11,-0.0001,AMZN,1.0,0.025,0.0001
Momentum,0.11,0.14,0.33,-0.02,0.7,0.43,18,-0.0048,AMZN,1.0,0.025,0.0001
Combined,0.26,0.12,0.09,0.02,0.28,0.05,18,0.0034,AMZN,1.0,0.025,0.0001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.025,0.0001
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0063,PLUG,1.0,0.025,0.0005
Momentum,0.25,0.35,0.86,-0.14,24.49,0.43,13,-0.0113,PLUG,1.0,0.025,0.0005
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.011,PLUG,1.0,0.025,0.0005
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,1.0,0.025,0.0005
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.021,FUBO,1.0,0.025,0.0005
Momentum,0.02,0.03,0.96,-0.36,1.41,0.42,22,0.004,FUBO,1.0,0.025,0.0005
Combined,-0.17,-0.07,0.29,-0.09,0.65,0.06,23,0.0006,FUBO,1.0,0.025,0.0005
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,1.0,0.025,0.0005
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.89,0.41,6,0.0056,RIOT,1.0,0.025,0.0005
Momentum,0.67,1.07,1.07,0.18,25.91,0.43,14,0.0402,RIOT,1.0,0.025,0.0005
Combined,-0.13,-0.06,0.34,-0.1,0.72,0.06,14,0.0201,RIOT,1.0,0.025,0.0005
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,1.0,0.025,0.0005
Mean Reversion,-0.57,-0.77,0.62,-0.42,1.03,0.39,7,-0.0156,SOFI,1.0,0.025,0.0005
Momentum,0.29,0.37,0.62,-0.01,1.71,0.4,13,0.0256,SOFI,1.0,0.025,0.0005
Combined,-0.49,-0.19,0.17,-0.09,0.5,0.03,10,0.011,SOFI,1.0,0.025,0.0005
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,1.0,0.025,0.0005
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0087,BCLI,1.0,0.025,0.0005
Momentum,-0.43,-0.44,1.05,-0.66,3.36,0.42,19,-0.0177,BCLI,1.0,0.025,0.0005
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.009,BCLI,1.0,0.025,0.0005
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,1.0,0.025,0.0005
Mean Reversion,0.35,0.39,1.06,-0.22,3.88,0.41,4,0.0199,SNDL,1.0,0.025,0.0005
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0032,SNDL,1.0,0.025,0.0005
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.0035,SNDL,1.0,0.025,0.0005
